graph_file,num_vertices,num_edges,max_flow,successful_runs,failed_runs,min_time,max_time,mean_time,median_time,stddev_time
1000v-30d-1min-10max.txt,1001,298909,1649,10,0,1.8610468748956919,2.672118250047788,2.230599325010553,2.2826614164514467,0.28623874765433566
100v-30d-1min-10max.txt,101,2895,80,10,0,0.05249875015579164,0.09403391601517797,0.06555022082757204,0.06454347912222147,0.011606788500917587
1250v-30d-1min-10max.txt,1251,467254,1899,10,0,2.7275660841260105,4.570857125101611,3.5054903708864003,3.3452651250408962,0.6699555934562853
1500v-30d-1min-10max.txt,1501,675307,2300,10,0,4.3762167079839855,8.504016709048301,5.681279283529148,5.159951667068526,1.3277771692678508
200v-30d-1min-10max.txt,201,12014,268,10,0,0.08007058291696012,0.1760686670895666,0.11022640829905868,0.09749222896061838,0.03366165746883384
400v-30d-1min-10max.txt,401,47856,615,10,0,0.18818812514655292,0.2728420828934759,0.22505230829119682,0.22753314557485282,0.024932512307921685
600v-30d-1min-10max.txt,601,107878,1023,10,0,0.5552759580314159,0.7580058749299496,0.6296043750131503,0.619996145949699,0.05904700223162668
800v-30d-1min-10max.txt,801,191827,1304,10,0,0.9519470841623843,1.2474235000554472,1.0962213541613892,1.1041425209259614,0.11112803898869617
