graph_file,num_vertices,num_edges,max_flow,successful_runs,failed_runs,min_time,max_time,mean_time,median_time,stddev_time
100s-100t-05p-1min-1000max.txt,202,5212,43384,10,0,0.09869320807047188,0.1469470418523997,0.12134241238236428,0.11827627092134207,0.01755791922255189
200s-200t-05p-1min-1000max.txt,402,20509,96982,10,0,0.4068325418047607,0.6729701249860227,0.5202314207330346,0.5044667290057987,0.08672656933013749
300s-300t-05p-1min-1000max.txt,602,45532,145336,10,0,1.4229108330328017,2.085945083061233,1.660083628911525,1.5886984579265118,0.23264857341015938
400s-400t-05p-1min-1000max.txt,802,80460,194060,10,0,2.5440430419985205,3.30794258415699,2.8845477876253427,2.8845487085636705,0.24866495059588012
500s-500t-05p-1min-1000max.txt,1002,126084,235464,10,0,3.683286791900173,6.799884332809597,5.080228183162399,5.136179562425241,1.095052667288615
50s-50t-05p-1min-1000max.txt,102,1331,23224,10,0,0.056478959042578936,0.0876792089547962,0.0711294170236215,0.07352735451422632,0.011641775251777111
600s-600t-05p-1min-1000max.txt,1202,181708,288785,10,0,6.002669457811862,11.848232374992222,7.985642933403142,7.306657395442016,2.121570037269057
800s-800t-05p-1min-1000max.txt,1602,321677,390404,10,0,11.439900875091553,23.50526279117912,13.996011566743254,12.09071960451547,4.0267159421090115
